"Source","Target"
1,2
1,6
1,7
1,8
1,9
1,21
1,38
1,41
1,42
1,59
1,62
1,70
1,71
1,90
1,92
1,100
1,132
1,135
1,150
1,160
1,168
1,169
1,174
1,186
1,190
1,195
1,215
1,225
1,240
1,242
1,245
1,248
1,258
1,267
2,7
2,11
2,17
2,22
2,27
2,34
2,61
2,70
2,92
2,131
2,142
2,149
2,169
2,170
2,174
2,181
2,186
2,190
2,215
2,225
2,245
2,258
2,267
3,11
3,30
3,31
3,121
3,138
3,161
3,165
3,196
3,226
3,236
4,6
4,16
4,37
4,49
4,53
4,54
4,74
4,80
4,99
4,103
4,104
4,128
4,133
4,173
4,180
4,222
4,223
4,233
4,270
5,12
5,13
5,14
5,18
5,23
5,28
5,110
5,115
5,189
5,204
5,249
6,8
6,9
6,21
6,37
6,38
6,42
6,54
6,71
6,74
6,90
6,99
6,100
6,135
6,158
6,222
6,244
7,11
7,20
7,39
7,41
7,46
7,65
7,92
7,122
7,132
7,150
7,164
7,172
7,205
7,207
7,216
7,240
8,15
8,21
8,36
8,37
8,44
8,48
8,59
8,69
8,74
8,85
8,105
8,114
8,130
8,151
8,163
8,175
8,176
8,184
8,188
8,201
8,202
8,206
8,244
8,246
8,253
9,38
9,41
9,42
9,62
9,71
9,132
9,135
9,152
9,160
9,168
9,248
10,30
10,43
10,52
10,89
10,106
10,123
10,155
10,178
10,266
11,17
11,65
11,94
11,121
11,138
11,149
11,161
11,165
11,170
11,181
11,199
11,200
11,226
12,23
12,24
12,28
12,33
12,51
12,56
12,84
12,96
12,110
12,124
12,127
12,154
12,259
13,14
13,76
13,88
13,115
13,139
13,159
13,204
13,249
14,76
14,88
14,97
14,115
14,139
14,159
14,204
15,36
15,48
15,69
15,113
15,147
15,162
15,175
15,221
15,229
15,230
16,36
16,49
16,53
16,54
16,66
16,74
16,80
16,98
16,103
16,140
16,173
16,180
16,218
16,219
16,223
16,233
17,19
17,34
17,56
17,61
17,81
17,87
17,94
17,96
17,131
17,170
17,200
17,227
17,260
18,23
18,29
18,51
18,75
18,102
18,119
18,148
18,156
18,157
18,198
19,30
19,33
19,47
19,56
19,60
19,81
19,106
19,123
19,125
19,211
19,214
20,39
20,46
20,182
20,183
20,197
20,207
20,210
20,237
21,37
21,59
21,90
21,100
22,27
22,29
22,34
22,50
22,61
22,84
22,124
23,29
23,51
23,110
23,148
23,189
23,259
24,28
24,55
24,194
24,231
25,58
25,63
25,67
25,72
25,86
25,88
25,97
25,107
25,109
25,153
25,159
25,179
25,239
25,243
25,256
26,43
26,52
26,55
26,194
27,44
27,50
27,77
27,142
27,146
27,193
27,250
27,268
28,110
28,127
29,50
29,51
29,116
29,124
29,154
29,157
29,213
29,234
29,269
30,31
30,89
30,123
30,155
30,196
30,211
30,214
30,254
31,121
31,196
31,254
32,57
32,72
32,93
32,112
32,224
33,47
33,56
33,125
34,56
34,61
34,81
34,84
34,96
35,40
35,58
35,67
35,79
35,118
35,144
35,209
35,235
35,251
36,69
36,113
36,130
36,147
36,185
36,221
37,54
37,74
37,99
37,188
37,222
37,244
38,42
38,71
38,135
38,160
38,168
39,45
39,111
39,182
40,79
40,144
40,252
40,265
41,62
41,132
41,152
42,71
42,135
42,158
43,52
43,208
44,59
44,77
44,105
44,129
44,146
44,166
44,193
44,212
44,268
45,91
45,111
45,126
46,172
46,183
46,207
47,55
47,60
47,125
48,69
48,85
48,130
48,151
48,163
48,175
48,206
48,253
49,53
49,68
49,80
49,128
49,133
49,143
49,173
49,180
49,263
50,77
50,82
50,95
50,101
50,116
50,145
50,213
50,269
51,157
52,60
53,68
53,80
53,98
53,128
53,133
53,143
53,173
53,257
53,263
54,74
54,233
54,270
55,231
56,81
56,96
57,72
57,93
57,112
58,67
58,73
58,153
58,191
59,105
60,106
61,131
62,152
63,75
63,97
63,179
63,239
63,243
64,77
64,82
64,95
64,120
64,129
64,137
64,145
64,167
64,192
64,241
64,247
64,261
65,149
66,140
66,218
66,219
66,271
67,109
67,153
67,171
67,191
68,143
68,263
69,113
69,130
69,175
69,206
70,267
71,135
72,93
72,107
72,112
73,83
73,238
74,184
74,188
74,244
74,270
75,97
75,156
75,179
75,198
76,86
76,88
76,139
76,141
76,255
77,95
77,146
78,85
78,108
78,177
78,217
79,144
79,228
79,252
79,262
80,98
80,143
80,173
80,257
81,96
82,95
82,101
82,120
82,145
83,238
84,124
85,108
85,163
85,176
85,177
85,217
86,88
86,107
86,187
86,256
87,94
87,260
88,159
89,106
89,123
89,155
89,266
90,100
91,126
92,169
92,240
92,245
93,107
93,112
94,170
94,200
94,227
95,129
95,145
95,192
97,159
97,179
98,140
98,173
101,119
101,120
101,203
102,119
105,166
106,123
106,266
107,256
108,137
108,177
108,217
109,117
109,153
109,171
109,243
113,147
113,221
114,130
115,249
117,171
118,209
119,203
120,220
121,236
122,205
123,155
123,211
124,154
128,133
129,192
129,212
131,227
132,150
137,261
139,141
140,218
140,219
143,263
146,193
147,221
153,191
157,213
160,168
163,175
167,192
167,241
169,174
177,217
179,239
184,188
190,258
193,268
197,210
210,232
211,214
247,261
