"Source","Target"
1,195
1,225
2,70
2,169
2,174
2,186
2,267
3,138
3,161
3,226
4,99
4,104
4,180
4,223
4,233
5,115
5,189
5,249
6,37
6,42
6,99
6,135
6,158
7,122
7,150
7,164
7,172
7,205
7,216
8,114
8,130
8,151
8,184
8,201
8,202
8,206
9,38
9,41
9,62
9,71
9,135
9,152
9,160
9,168
9,248
10,89
10,155
10,178
11,65
11,138
11,161
11,165
11,181
11,226
12,33
12,127
12,259
13,14
13,115
13,204
14,76
14,115
14,139
14,159
14,204
15,113
15,147
15,162
15,221
15,230
16,54
16,98
16,103
16,140
16,173
16,180
16,218
16,219
16,223
16,233
17,34
17,61
17,81
17,87
17,94
17,131
17,170
17,200
17,227
17,260
18,51
18,102
18,148
18,156
19,81
19,106
19,125
19,211
19,214
19,266
20,46
20,182
20,183
20,197
20,207
20,210
20,237
21,59
21,90
21,242
22,84
22,124
22,250
23,51
23,110
23,148
23,189
23,259
24,194
24,231
25,58
25,63
25,88
25,97
25,107
25,109
25,153
25,159
25,179
25,239
25,243
25,256
26,194
27,77
27,142
27,146
27,186
27,193
27,250
27,268
28,110
28,127
29,50
29,51
29,116
29,124
29,154
29,157
29,213
29,234
29,269
30,31
30,89
30,123
30,155
30,196
30,211
30,214
30,254
30,264
30,266
31,121
31,196
31,236
31,254
31,264
32,57
32,72
32,93
32,112
32,224
33,47
33,56
33,125
34,56
34,61
34,81
34,84
34,96
34,131
35,67
35,79
35,118
35,144
35,191
35,209
35,235
35,251
35,252
35,262
36,69
36,113
36,114
36,130
36,147
36,185
36,221
36,271
37,54
37,74
37,99
37,184
37,188
37,222
37,244
37,270
38,42
38,71
38,135
38,158
38,160
38,168
39,45
39,111
39,122
39,182
40,79
40,118
40,144
40,228
40,252
40,265
41,62
41,132
41,150
41,152
42,71
42,135
42,158
43,208
44,59
44,77
44,95
44,105
44,129
44,146
44,166
44,192
44,193
44,202
44,212
44,246
44,268
45,91
45,111
45,126
45,136
46,122
46,172
46,182
46,183
46,197
46,205
46,207
46,210
47,55
47,60
47,125
47,231
48,69
48,85
48,113
48,130
48,151
48,163
48,175
48,176
48,177
48,206
48,253
49,53
49,68
49,80
49,128
49,133
49,143
49,173
49,180
49,223
49,263
50,64
50,77
50,82
50,95
50,101
50,116
50,145
50,157
50,213
50,234
50,250
50,269
51,148
51,154
51,157
51,213
51,234
52,60
52,178
53,68
53,80
53,98
53,128
53,133
53,140
53,143
53,173
53,180
53,257
53,263
54,74
54,99
54,184
54,188
54,222
54,223
54,233
54,244
54,270
55,194
55,231
56,81
56,84
56,96
57,72
57,93
57,112
57,187
58,67
58,73
58,83
58,109
58,153
58,171
58,191
58,238
58,243
58,262
59,105
59,166
59,202
59,242
59,268
60,106
60,125
60,178
60,266
61,131
61,227
62,132
62,152
63,75
63,88
63,97
63,107
63,109
63,153
63,159
63,179
63,198
63,239
63,243
63,256
64,77
64,82
64,95
64,101
64,120
64,129
64,137
64,145
64,167
64,176
64,192
64,212
64,220
64,241
64,246
64,247
64,261
65,149
65,164
65,165
65,181
65,199
66,98
66,103
66,140
66,185
66,218
66,219
66,271
67,109
67,117
67,153
67,171
67,191
67,235
67,243
67,251
67,262
68,80
68,128
68,133
68,143
68,263
69,113
69,114
69,130
69,147
69,151
69,163
69,175
69,206
69,221
69,253
70,169
70,174
70,186
70,190
70,215
70,225
70,258
70,267
71,100
71,135
71,158
71,160
71,168
71,248
72,86
72,93
72,107
72,112
72,187
72,224
72,256
73,83
73,224
73,228
73,238
73,262
74,114
74,184
74,188
74,222
74,233
74,244
74,270
75,97
75,117
75,156
75,159
75,179
75,198
75,239
75,243
76,86
76,88
76,107
76,139
76,141
76,159
76,187
76,204
76,255
76,256
77,82
77,95
77,116
77,129
77,145
77,146
77,167
77,192
77,193
77,212
77,241
77,250
77,268
78,85
78,108
78,118
78,137
78,177
78,209
78,217
78,230
78,251
79,144
79,228
79,252
79,262
79,265
80,98
80,128
80,133
80,140
80,143
80,173
80,219
80,257
80,263
81,96
82,95
82,101
82,116
82,119
82,120
82,134
82,145
82,157
82,167
82,192
82,203
82,213
82,220
82,234
82,241
82,247
82,261
82,269
83,224
83,238
84,96
84,124
84,154
85,108
85,137
85,151
85,163
85,175
85,176
85,177
85,217
85,241
85,246
85,253
85,261
86,88
86,93
86,107
86,112
86,139
86,141
86,159
86,187
86,255
86,256
87,94
87,121
87,170
87,200
87,227
87,236
87,260
87,264
88,97
88,107
88,139
88,159
88,187
88,204
88,255
88,256
89,106
89,123
89,155
89,178
89,211
89,214
89,266
90,100
91,111
91,126
91,136
92,169
92,174
92,215
92,240
92,245
92,267
93,107
93,112
93,187
93,224
93,256
94,131
94,170
94,200
94,227
94,236
94,260
95,101
95,116
95,120
95,129
95,145
95,146
95,167
95,192
95,193
95,212
95,241
95,247
95,250
95,261
95,269
97,156
97,159
97,179
97,198
97,239
97,243
97,256
98,103
98,140
98,143
98,173
98,218
98,219
98,257
99,104
99,222
100,135
101,102
101,116
101,119
101,120
101,134
101,145
101,157
101,203
101,213
101,220
101,234
101,247
101,261
101,269
102,117
102,119
102,148
102,156
102,157
102,203
102,234
103,140
103,173
103,180
103,218
103,219
103,223
103,233
104,180
104,223
105,129
105,146
105,166
105,193
105,202
105,212
105,242
105,268
106,123
106,155
106,178
106,211
106,214
106,266
107,112
107,187
107,255
107,256
108,137
108,163
108,167
108,175
108,176
108,177
108,217
108,241
108,246
108,247
108,253
108,261
109,117
109,153
109,156
109,171
109,179
109,191
109,235
109,239
109,243
110,127
110,189
110,259
111,126
111,136
112,187
112,255
112,256
113,130
113,147
113,175
113,185
113,206
113,221
114,130
114,151
114,184
114,188
114,201
114,206
114,270
115,249
116,145
116,146
116,157
116,213
116,234
116,250
116,269
117,153
117,156
117,171
117,179
117,191
117,235
117,239
117,243
118,144
118,209
118,235
118,251
118,252
118,265
119,120
119,134
119,156
119,157
119,203
119,220
119,234
119,269
120,134
120,137
120,145
120,167
120,192
120,203
120,220
120,234
120,241
120,247
120,261
120,269
121,138
121,196
121,200
121,236
121,254
121,260
121,264
122,136
122,164
122,172
122,182
122,205
122,216
123,155
123,178
123,211
123,214
123,266
124,154
126,136
126,199
128,133
128,143
128,173
128,180
128,263
129,137
129,145
129,146
129,167
129,176
129,192
129,193
129,202
129,212
129,241
129,246
129,247
129,261
129,268
130,147
130,151
130,175
130,184
130,201
130,206
131,170
131,200
131,227
132,150
133,143
133,173
133,180
133,263
134,137
134,203
134,220
134,247
134,251
134,261
135,158
135,160
135,168
135,248
136,164
136,199
137,167
137,176
137,177
137,192
137,212
137,217
137,220
137,241
137,246
137,247
137,253
137,261
138,161
138,226
139,141
139,187
139,204
139,255
140,173
140,218
140,219
140,257
140,271
141,187
141,204
141,255
142,186
143,173
143,257
143,263
144,191
144,209
144,228
144,235
144,252
144,262
144,265
145,167
145,192
145,203
145,213
145,220
145,234
145,241
145,247
145,250
145,261
145,269
146,166
146,192
146,193
146,212
146,250
146,268
147,175
147,185
147,206
147,221
148,189
149,165
149,181
149,245
150,216
151,163
151,175
151,176
151,177
151,201
151,202
151,206
151,246
151,253
152,160
153,171
153,191
153,238
153,239
153,243
153,262
155,178
155,211
155,214
155,254
155,266
156,171
156,179
156,198
156,239
156,243
157,213
157,234
157,269
159,179
159,198
159,204
159,256
160,168
160,248
161,165
161,199
161,226
162,229
162,230
163,175
163,176
163,177
163,206
163,217
163,246
163,253
164,199
164,205
164,216
165,181
165,199
165,226
166,190
166,193
166,242
166,268
167,176
167,192
167,212
167,220
167,241
167,246
167,247
167,261
168,248
169,174
169,215
169,240
169,245
169,267
170,200
170,227
171,179
171,191
171,235
171,239
171,243
171,251
172,183
172,197
172,205
172,207
172,216
173,180
173,218
173,219
173,223
173,233
173,257
173,263
174,215
174,240
174,245
174,267
175,176
175,177
175,206
175,217
175,230
175,253
176,177
176,192
176,202
176,212
176,217
176,241
176,246
176,247
176,253
176,261
177,217
177,230
177,253
177,261
178,211
178,266
179,198
179,239
179,243
180,223
180,233
182,207
182,237
183,197
183,207
183,210
183,232
184,188
184,201
184,244
184,270
185,218
185,219
185,221
185,229
185,271
186,190
186,225
186,258
186,267
187,255
187,256
188,222
188,244
188,270
189,259
190,225
190,242
190,258
190,267
191,235
191,238
191,243
191,262
192,212
192,241
192,246
192,247
192,261
193,212
193,250
193,268
194,231
195,215
195,225
195,258
195,267
196,236
196,254
196,264
197,207
197,210
197,232
198,239
198,243
200,227
200,236
200,260
200,264
201,202
201,206
202,212
202,241
202,246
202,253
203,220
203,234
203,247
203,269
205,216
206,253
207,210
207,232
209,235
209,251
210,232
211,214
211,266
212,241
212,246
212,247
212,253
212,261
213,234
213,269
214,266
215,225
215,240
215,245
215,267
217,230
217,253
217,261
218,219
218,257
218,271
219,257
219,271
220,234
220,247
220,261
220,269
221,271
222,244
222,270
223,233
224,238
225,242
225,258
225,267
227,260
228,252
228,262
233,270
234,269
235,251
236,254
236,260
236,264
238,262
239,243
240,245
241,246
241,247
241,253
241,261
242,258
244,270
246,247
246,253
246,261
247,261
252,262
252,265
254,264
255,256
257,263
258,267
260,264
