"Source","Target","weight"
1,2,9.52719
1,6,5.69823
1,7,5.61997
1,8,1.05788
1,9,9.36796
1,21,3.19804
1,38,0.94412
1,41,2.44792
1,42,0.49531
1,59,0.82211
1,62,0.68586
1,70,1.76299
1,71,1.7842
1,90,1.15136
1,92,1.59611
1,100,1.31244
1,132,0.46287
1,135,0.50589
1,150,0.25858
1,160,0.42387
1,168,0.28847
1,169,0.55073
1,174,0.31438
1,186,0.14482
1,190,0.47805
1,195,1.35906
1,215,0.60248
1,225,0.59957
1,240,0.25826
1,242,0.27726
1,245,0.13619
1,248,0.33143
1,258,0.27409
1,267,0.29076
2,1,15.10824
2,7,0.13836
2,11,2.50286
2,17,2.89345
2,22,2.31218
2,27,2.83397
2,34,1.17757
2,61,1.62521
2,70,3.57212
2,92,0.98761
2,131,0.51084
2,142,0.90131
2,149,0.09695
2,169,0.79518
2,170,0.2192
2,174,1.12845
2,181,0.12666
2,186,0.74956
2,190,0.29719
2,215,0.39595
2,225,0.15201
2,245,0.20794
2,258,0.14641
2,267,0.24866
3,11,10.79614
3,30,0.33384
3,31,3.797
3,121,1.09078
3,138,1.52917
3,161,0.97939
3,165,0.16911
3,196,0.21347
3,226,0.81319
3,236,0.09979
4,6,7.4848
4,16,7.56567
4,37,2.23438
4,49,3.52839
4,53,1.15807
4,54,3.18523
4,74,0.47642
4,80,0.04091
4,99,1.5579
4,103,0.85849
4,104,3.2722
4,128,0.8037
4,133,0.60643
4,173,0.26216
4,180,1.02847
4,222,0.22893
4,223,0.80135
4,233,0.39486
4,270,0.00621
5,12,0.71359
5,13,10.28826
5,14,9.23639
5,18,2.95454
5,23,4.11133
5,28,4.94037
5,110,0.66798
5,115,1.80296
5,189,0.64288
5,204,0.00013
5,249,0.58262
6,1,10.52573
6,4,8.14437
6,8,1.5753
6,9,5.01919
6,21,3.75523
6,37,4.8881
6,38,2.9248
6,42,5.71635
6,54,0.57758
6,71,1.83883
6,74,0.01493
6,90,1.56217
6,99,1.57428
6,100,1.24944
6,135,0.90483
6,158,1.41532
6,222,0.34442
6,244,0.04308
7,1,11.44218
7,2,0.17764
7,11,1.47111
7,20,0.80085
7,39,0.11175
7,41,0.63108
7,46,3.09977
7,65,1.0747
7,92,0.35943
7,122,1.14162
7,132,0.62352
7,150,1.1448
7,164,0.67944
7,172,0.82638
7,205,0.70603
7,207,0.1312
7,216,1.19016
7,240,0.16636
8,1,2.17206
8,6,1.751
8,15,0.19691
8,21,7.19394
8,36,1.33945
8,37,1.39424
8,44,1.89188
8,48,3.36189
8,59,2.09447
8,69,1.95598
8,74,1.19724
8,85,0.12751
8,105,0.37968
8,114,1.68763
8,130,1.29187
8,151,1.08351
8,163,0.33638
8,175,0.13645
8,176,0.11168
8,184,0.62515
8,188,0.26834
8,201,1.48982
8,202,0.6896
8,206,0.67992
8,244,0.07294
8,246,0.0917
8,253,0.17503
9,1,20.86533
9,6,6.05204
9,38,5.00257
9,41,5.00565
9,42,1.807
9,62,2.75767
9,71,2.47505
9,132,0.14587
9,135,0.85088
9,152,0.97909
9,160,1.77799
9,168,1.50595
9,248,0.5926
10,30,2.23307
10,43,0.288
10,52,0.73787
10,89,2.10136
10,106,0.53238
10,123,0.66372
10,155,0.69826
10,178,0.61432
10,266,0.02316
11,2,3.82769
11,3,16.20213
11,7,1.75235
11,17,0.15347
11,65,2.31705
11,94,0.07946
11,121,0.21605
11,138,1.23871
11,149,0.44834
11,161,0.92846
11,165,1.3438
11,170,0.04579
11,181,0.61831
11,199,0.18743
11,200,0.1214
11,226,0.46671
12,5,1.06352
12,23,5.25731
12,24,0.24657
12,28,0.1028
12,33,5.63154
12,51,0.25912
12,56,1.2039
12,84,1.06895
12,96,0.40667
12,110,0.49592
12,124,0.34843
12,127,0.80518
12,154,0.30004
12,259,0.23116
13,5,16.83699
13,14,18.05817
13,76,1.15685
13,88,0.5612
13,115,1.15804
13,139,0.37697
13,159,0.11627
13,204,0.96794
13,249,0.08774
14,5,15.56875
14,13,18.59957
14,76,1.5941
14,88,1.16457
14,97,0.16576
14,115,0.67007
14,139,0.4774
14,159,0.45888
14,204,1.04988
15,8,0.31816
15,36,1.75219
15,48,1.41317
15,69,1.0605
15,113,1.03877
15,147,0.71341
15,162,0.91549
15,175,0.20622
15,221,0.32695
15,229,0.01598
15,230,0.50649
16,4,14.95168
16,36,3.34824
16,49,1.49762
16,53,1.0443
16,54,3.24509
16,66,1.42812
16,74,0.74661
16,80,0.30635
16,98,1.20755
16,103,3.30644
16,140,0.69661
16,173,0.63939
16,180,0.53653
16,218,0.3374
16,219,0.14585
16,223,0.39091
16,233,0.7252
17,2,6.37647
17,11,0.22115
17,19,4.24544
17,34,4.51135
17,56,0.99051
17,61,2.42836
17,81,2.09184
17,87,2.43158
17,94,2.088
17,96,0.04558
17,131,1.42819
17,170,0.32786
17,200,0.28301
17,227,0.66481
17,260,0.19576
18,5,5.87573
18,23,4.69471
18,29,2.54433
18,51,3.20847
18,75,1.34854
18,102,1.7298
18,119,0.39673
18,148,1.84461
18,156,0.35299
18,157,0.17091
18,198,0.00432
19,17,4.5587
19,30,3.21808
19,33,2.11226
19,47,2.00076
19,56,0.8424
19,60,1.36743
19,81,1.58594
19,106,0.73595
19,123,0.02723
19,125,0.76751
19,211,0.22276
19,214,0.39794
20,7,1.56823
20,39,2.51445
20,46,3.05524
20,182,0.54173
20,183,0.17076
20,197,0.59283
20,207,0.22714
20,210,0.12239
20,237,0.61536
21,1,14.10863
21,6,8.96862
21,8,15.45731
21,37,2.42669
21,59,2.37912
21,90,1.84205
21,100,0.2868
22,2,6.90341
22,27,4.54391
22,29,3.58885
22,34,3.24209
22,50,0.21327
22,61,0.49392
22,84,0.81635
22,124,0.38149
23,5,10.93488
23,12,9.38208
23,18,6.27868
23,29,1.16859
23,51,3.47869
23,110,0.29452
23,148,0.10751
23,189,0.76109
23,259,0.43804
24,12,0.45091
24,28,1.66756
24,55,1.4738
24,194,0.16696
24,231,0.34491
25,58,1.70442
25,63,4.4714
25,67,0.44866
25,72,0.43373
25,86,0.36219
25,88,0.76852
25,97,1.25178
25,107,1.03249
25,109,0.63406
25,153,0.44157
25,159,0.0502
25,179,0.511
25,239,0.11661
25,243,0.25563
25,256,0.21633
26,43,0.84497
26,52,1.99638
26,55,1.37838
26,194,0.02269
27,2,10.08597
27,22,5.4164
27,44,1.35334
27,50,0.87613
27,77,1.65612
27,142,0.97545
27,146,0.98177
27,193,0.42413
27,250,0.3024
27,268,0.04941
28,5,15.48229
28,12,0.21617
28,24,1.91742
28,110,1.06934
28,127,0.13048
29,18,4.12894
29,22,4.45459
29,23,1.41797
29,50,2.88722
29,51,4.59802
29,116,0.49922
29,124,0.35087
29,154,0.44436
29,157,1.18091
29,213,0.59357
29,234,0.10389
29,269,0.03351
30,3,1.21723
30,10,5.7379
30,19,5.05299
30,31,6.34053
30,89,0.55923
30,123,1.22293
30,155,0.81113
30,196,0.21135
30,211,0.37063
30,214,0.3683
30,254,0.41983
31,3,14.9082
31,30,6.82767
31,121,0.36258
31,196,1.74661
31,254,0.47774
32,57,3.33366
32,72,2.8098
32,93,1.18382
32,112,0.43208
32,224,0.32436
33,12,14.25893
33,19,3.86791
33,47,1.93262
33,56,1.13998
33,125,1.03226
34,2,5.47561
34,17,9.51887
34,22,5.04925
34,56,2.1873
34,61,4.10422
34,81,0.38676
34,84,0.26802
34,96,0.81446
35,40,1.65432
35,58,0.17595
35,67,1.91802
35,79,0.27871
35,118,1.00167
35,144,0.94298
35,209,0.44677
35,235,0.48105
35,251,0.17427
36,8,4.90692
36,15,3.97274
36,16,7.50679
36,69,0.72369
36,113,1.50006
36,130,0.12905
36,147,0.9516
36,185,0.18534
36,221,0.33738
37,4,10.00015
37,6,20.10537
37,8,5.15926
37,21,4.17924
37,54,2.40206
37,74,1.82564
37,99,0.98632
37,188,0.39337
37,222,0.77974
37,244,0.47594
38,1,7.19257
38,6,12.06254
38,9,17.11071
38,42,5.06092
38,71,1.38974
38,135,0.50674
38,160,0.27799
38,168,0.62186
39,7,0.42676
39,20,4.90384
39,45,3.17088
39,111,1.27737
39,182,0.76441
40,35,1.87895
40,79,1.44687
40,144,0.30447
40,252,0.29516
40,265,0.50527
41,1,20.9837
41,7,2.65703
41,9,19.26485
41,62,5.36795
41,132,0.92324
