"net","mod","num","nnodes","nedges","mdegree","clusteringC","edensity","aplength","diameter","cb","cd"
"CS","Tho",1,226,1047,9.26548672566372,0.718585402558314,0.0411799410029499,4.33347028211449,12,0.0559605629666511,0.0743756145526057
"CS","Tho",2,277,1540,11.1191335740072,0.778514525592711,0.0402867158478522,5.94451437978116,20,0.0991368314525214,0.0865248783550463
"CS","Tho",3,255,1185,9.29411764705882,0.744348762109796,0.0365910143584993,6.42749360613811,17,0.10031409321136,0.0539601667438629
"CS","Tho",4,286,1463,10.2307692307692,0.810482408414944,0.0358974358974359,3.58451032127891,14,0.0296509001686326,0.044804318488529
"CS","Tho",5,272,1627,11.9632352941176,0.797580249118264,0.0441447796830909,5.87133899515835,19,0.108323570930894,0.0554862166268721
"CS","Tho",6,248,1144,9.2258064516129,0.813021007002334,0.0373514431239389,4.64914330218069,16,0.0451915197904294,0.039571633799138
"CS","Tho",7,302,1664,11.0198675496689,0.756611091522692,0.0366108556467404,6.97875657766517,17,0.17300024582552,0.0431233636223625
"CS","Tho",8,293,1481,10.1092150170648,0.749909974792942,0.0346205993735097,8.72019534616489,28,0.120713253487531,0.0372972088456683
"CS","Tho",9,258,1168,9.05426356589147,0.789432176656151,0.0352305975326516,2.8304625984252,8,0.0153350480000269,0.0348083129731849
"CS","Tho",10,222,898,8.09009009009009,0.815826781801779,0.0366067424890954,2.92493946731235,9,0.0144477640241996,0.0403163344339815
"CS","Tho",11,259,1202,9.28185328185328,0.736543474927158,0.0359761755110592,2.70352781546811,7,0.0194264628649003,0.0570470803028943
"CS","Tho",12,268,1381,10.3059701492537,0.786291091753036,0.0385991391357818,5.90790195003524,16,0.113689412269469,0.0363072279054167
"CS","Tho",13,268,1389,10.365671641791,0.762143407864302,0.0388227402314271,4.67912544277513,16,0.0541341061712972,0.0473195818659511
"CS","Tho",14,294,1666,11.3333333333333,0.80967596759676,0.0386803185437998,6.08924127836058,14,0.174074358338957,0.0534698521046644
"CS","Tho",15,259,1414,10.9189189189189,0.767315601864546,0.0423213911586005,4.40949614344385,14,0.0379888919987364,0.0662057406243453
"CS","Tho",16,289,1779,12.3114186851211,0.769261769554863,0.0427479815455594,3.65170415479815,10,0.0398100884181251,0.0648909073433295
"CS","Tho",17,275,1717,12.4872727272727,0.819365151861156,0.0455739880557399,3.34950048340316,10,0.0275886057494028,0.078513603185136
"CS","Tho",18,333,2082,12.5045045045045,0.772187327106454,0.0376641701942907,9.65937069361507,22,0.335166970067874,0.0526972755888419
"CS","Tho",19,261,1261,9.66283524904215,0.830649442576535,0.0371647509578544,3.98846074593035,16,0.0298271686733225,0.0666814028882994
"CS","Tho",20,306,1490,9.73856209150327,0.786193793540215,0.0319297117754205,9.66488240988554,24,0.150430415053616,0.0336440587163827
"CS","Mat",1,249,1170,9.39759036144578,0.77344336084021,0.0378935095219588,7.72771084337349,20,0.139252510290575,0.0427516517683638
"CS","Mat",2,239,1146,9.58995815899582,0.753251692401308,0.0402939418445202,6.49665749115218,18,0.110559339148913,0.0605463942899335
"CS","Mat",3,256,1289,10.0703125,0.712975730832874,0.0394914215686274,8.56723137618937,25,0.213747687233434,0.0467830882352941
"CS","Mat",4,293,1508,10.2935153583618,0.718873685400882,0.0352517649258965,6.54404730268403,19,0.133279600887061,0.0469400158960213
"CS","Mat",5,288,1358,9.43055555555556,0.675958965209634,0.0328590785907859,9.14814814814815,26,0.354004387725811,0.0368273325590399
"CS","Mat",6,274,1404,10.2481751824818,0.73469387755102,0.0375391032325339,7.67172495017213,22,0.195197326933148,0.0540359883425577
"CS","Mat",7,331,1913,11.5589123867069,0.692571568587414,0.0350270072324453,5.97799070638666,16,0.0836956241574699,0.0437608715554335
"CS","Mat",8,279,1394,9.99283154121864,0.733883307830484,0.0359454371986282,5.67674991206472,19,0.0837058945420865,0.0467883757510121
"CS","Mat",9,252,1380,10.952380952381,0.698100407055631,0.0436349838740277,7.84574876577071,25,0.235320882076116,0.07190286473155
"CS","Mat",10,240,1067,8.89166666666667,0.75285062713797,0.0372036262203626,7.396571213263,24,0.141267858485282,0.0381101813110181
"CS","Mat",11,253,1279,10.1106719367589,0.754682335659199,0.0401217140347575,8.21902264090349,23,0.271750333310597,0.0749576510446076
"CS","Mat",12,236,1181,10.0084745762712,0.69307774227902,0.0425892535160476,8.21075001073284,23,0.279500566834202,0.072304363505229
