"Source","Target","weight"
1,2,9.73519
1,3,5.11514
1,4,4.35986
1,343,1.4687
1,344,1.09141
1,378,1.65726
2,1,5.89233
2,3,4.22933
2,4,3.94575
2,343,1.96827
2,344,1.69777
2,378,2.48118
3,1,2.88115
3,2,3.93584
3,4,1.73791
3,180,0.88741
3,378,0.27167
4,1,6.75584
4,2,10.10166
4,3,4.78106
4,343,0.21045
5,6,5.98914
5,7,6.3778
5,8,0.84845
5,9,2.88417
5,10,6.39352
5,171,2.20867
5,173,5.34059
6,5,3.93968
6,7,7.94496
6,8,2.76309
6,9,3.39001
6,10,7.30092
6,171,3.41388
6,172,2.01969
6,173,3.43393
7,5,4.30933
7,6,8.16081
7,8,3.52952
7,9,3.01985
7,10,6.54131
7,171,2.51795
7,172,0.94033
7,173,2.75282
8,5,1.41447
8,6,7.00274
8,7,8.70857
8,9,0.97384
8,10,4.19936
8,171,0.2346
9,5,6.08472
9,6,10.87237
9,7,9.42902
9,8,1.23235
9,10,11.54275
9,171,4.32808
9,172,0.97723
9,173,5.07921
10,5,5.07593
10,6,8.81163
10,7,7.68602
10,8,1.99981
10,9,4.34375
10,171,3.89976
10,172,1.82655
10,173,4.75693
11,12,6.43839
11,13,4.27273
11,16,0.71216
12,11,7.46225
12,13,4.7176
12,16,1.23125
13,11,6.01552
13,12,5.73054
13,16,0.5868
14,15,7.76632
14,16,2.5711
14,17,2.13397
14,18,8.56785
14,19,5.51988
15,14,5.09026
15,16,3.73288
15,17,2.79339
15,18,7.1063
15,19,4.10852
16,11,1.01127
16,12,1.5085
16,13,0.59185
16,14,3.34838
16,15,7.4171
16,17,1.8606
16,18,6.25065
16,19,4.45086
17,14,7.05984
17,15,14.09977
17,16,4.72655
17,18,11.33464
17,19,4.82335
18,14,6.23394
18,15,7.88876
18,16,3.49221
18,17,2.49283
18,19,5.77883
19,14,3.94723
19,15,4.48253
19,16,2.44394
19,17,1.04257
19,18,5.67953
20,21,8.92521
20,22,6.34713
21,20,8.61714
21,22,5.90448
22,20,8.51318
22,21,8.2026
23,24,6.3944
24,23,6.91558
24,447,0.81514
25,26,4.41246
25,27,3.60159
25,28,9.51968
25,29,5.4018
26,25,3.40418
26,27,2.3972
26,28,8.01849
26,29,1.93105
27,25,6.31202
27,26,5.44562
27,28,12.04445
27,29,4.7587
28,25,4.67793
28,26,5.10731
28,27,3.3771
28,29,3.97579
29,25,3.5588
29,26,1.64902
29,27,1.78887
29,28,5.33036
30,31,2.15676
30,32,4.84287
30,33,9.31881
30,237,1.15645
31,30,1.86722
31,32,1.48544
31,33,3.98615
32,30,5.088
32,31,1.80263
32,33,9.91402
32,237,0.94002
33,30,3.78583
33,31,1.87051
33,32,3.8336
33,75,0.22079
33,237,1.84801
34,35,5.64263
34,36,6.2191
34,37,3.1493
34,40,6.1062
34,41,1.41563
34,42,4.54558
34,477,2.89066
34,478,4.72442
34,479,5.66818
34,480,2.33424
34,481,6.28315
35,34,5.31058
35,36,6.74982
35,37,2.76439
35,40,3.23894
35,42,1.80471
35,464,0.02576
35,477,2.12375
35,478,2.41412
35,479,3.96134
35,480,1.16272
35,481,4.19227
36,34,5.89437
36,35,6.79739
36,37,3.02514
36,40,4.48873
36,41,0.46443
36,42,2.88083
36,477,3.1006
36,478,3.93876
36,479,5.48397
36,480,1.92947
36,481,5.89338
37,34,9.03984
37,35,8.43114
37,36,9.16182
37,40,5.35795
37,42,2.91712
37,477,2.86715
37,478,3.53915
37,479,5.90444
37,480,1.69555
37,481,6.2891
38,39,5.92125
39,38,7.10138
40,34,4.41326
40,35,2.48732
40,36,3.42295
40,37,1.34909
40,41,4.04799
40,42,7.5371
40,477,2.52881
40,478,7.37018
40,479,6.18276
40,480,2.738
40,481,7.71136
41,34,2.22078
41,36,0.76871
41,40,8.78633
41,42,8.42849
41,477,1.06618
41,478,8.4384
41,479,5.31227
41,480,1.66542
41,481,7.66875
42,34,3.76127
42,35,1.58669
42,36,2.51509
42,37,0.84092
42,40,8.62903
42,41,4.44569
42,477,1.85974
42,478,6.93308
42,479,5.31277
42,480,2.19562
42,481,6.8956
43,179,1.9967
43,180,3.14967
44,45,3.0764
44,46,6.40936
44,122,6.04309
44,123,1.05295
44,124,3.00035
44,218,5.56799
44,454,2.91113
44,455,2.96024
44,456,7.40338
45,44,9.79183
45,46,10.47093
45,122,5.65223
45,124,1.88761
45,218,2.56304
45,454,3.95671
45,455,4.9981
45,456,7.49938
46,44,8.21153
46,45,4.21477
46,122,5.39022
46,123,0.25888
46,124,2.44047
46,218,3.6837
46,454,3.56702
46,455,4.05591
46,456,6.50003
47,48,2.80907
47,49,8.09134
47,50,10.20623
48,47,3.62435
48,49,10.92997
48,50,10.93162
49,47,2.15049
49,48,2.25148
49,50,7.34186
50,47,2.13404
50,48,1.77156
50,49,5.776
50,256,1.32307
50,257,1.45569
50,258,1.42268
51,52,5.8233
51,53,5.9133
52,51,3.93238
52,53,3.89529
52,230,0.72659
53,51,6.33752
53,52,6.18221
53,230,0.08712
54,55,1.72053
54,56,6.68473
54,57,3.93765
54,58,6.92458
54,356,2.81897
55,54,2.73482
55,56,12.23368
55,57,9.42461
55,58,10.79404
55,356,0.47573
56,54,1.98651
56,55,2.28716
56,57,7.47063
56,58,5.70958
56,356,1.67343
56,484,0.79319
57,54,1.11113
57,55,1.67312
57,56,7.09384
57,58,4.59081
57,356,0.3185
58,54,2.87157
58,55,2.81608
58,56,7.96755
58,57,6.74662
58,356,1.79104
59,60,4.74022
60,59,4.98553
61,62,5.26498
61,245,6.71795
61,246,3.45328
61,247,2.5986
61,248,5.81352
61,310,5.29273
62,61,4.22062
62,245,7.30054
62,246,2.56343
62,247,2.3499
62,248,5.25486
62,310,6.72474
63,64,11.61126
63,65,1.45672
63,66,2.92336
63,67,2.91992
64,63,2.79893
64,65,2.03772
64,66,3.1503
64,67,2.23013
64,319,0.59607
65,63,1.60976
65,64,9.34152
65,66,1.58039
65,67,0.24975
66,63,2.2518
66,64,10.06673
66,65,1.10161
66,67,2.03702
