"net","mod","num","nnodes","nedges","edensity","aplength","mdegree","diameter","clusteringC","cb","cd"
"CS","CSR",1,575,1210,0.00733222239054689,20.2924817783986,4.20869565217391,45,0.545625,0.379623673478912,0.0100893803969096
"CS","CSR",2,533,1131,0.00797726022373006,15.8268346145534,4.24390243902439,56,0.61142498430634,0.079451199856543,0.0145791307537136
"CS","CSR",3,637,1565,0.0077258769981142,20.2223495967438,4.91365777080063,45,0.601812926957436,0.268862105437073,0.0111420475301877
"CS","CSR",4,563,1227,0.00775585797993717,15.4050146557871,4.35879218472469,40,0.59393063583815,0.115314312679755,0.0189345334791376
"CS","CSR",5,614,1432,0.00760929056118518,22.9864453510981,4.66449511400651,68,0.55716934487021,0.30586615096804,0.0119665658825342
"CS","CSR",6,545,1186,0.00800053966540745,11.6222134930767,4.35229357798165,35,0.636209813874788,0.05749829126206,0.0140582838640043
"CS","CSR",7,548,1181,0.00787974219031479,12.7569940514845,4.31021897810219,35,0.596570028583095,0.10949986606115,0.0140581005884786
"CS","CSR",8,582,1334,0.00789017631645877,24.7870208350289,4.58419243986254,78,0.587178241864983,0.243034520759415,0.0127638684339715
"CS","CSR",9,560,1282,0.00819064656273959,22.6034269413509,4.57857142857143,62,0.595790880240521,0.308605636574969,0.0132762586250958
"CS","CSR",10,605,1437,0.00786492255486837,20.1477095460944,4.7504132231405,47,0.618601930389003,0.195040037788206,0.0120026271140058
"CS","CSR",11,593,1410,0.00803290643088282,12.2750758150114,4.75548060708263,32,0.578893592176325,0.0739026999343248,0.0122373638393874
"CS","CSR",12,627,1516,0.00772480140228585,18.524384432089,4.83572567783094,47,0.576070283084646,0.220392558081531,0.00824963949228284
"CS","CSR",13,604,1386,0.00761095186320055,17.4503668394693,4.58940397350993,49,0.592776523702032,0.180754157466142,0.0122895456492373
"CS","CSR",14,624,1568,0.00806683952751368,24.9162925358398,5.02564102564103,65,0.613180883864337,0.331672768424136,0.0111947977116516
"CS","CSR",15,600,1367,0.00760712298274903,17.9009609868044,4.55666666666667,47,0.577931716971796,0.178444488448573,0.010756816917084
"CS","CSR",16,550,1136,0.0075244245736049,20.5013920232848,4.13090909090909,55,0.568532393124725,0.268365480166261,0.0125120052988905
"CS","CSR",17,619,1388,0.00725671952360786,14.6996791742223,4.48465266558966,40,0.585910931174089,0.0992663984765085,0.0121607562045475
"CS","CSR",18,612,1498,0.00801215194206433,19.3021767087402,4.89542483660131,67,0.609486761199649,0.182549592943586,0.0149011050137458
