"r","obs","mmean","lo","hi"
0,0,0,0,0
0.09765625,0,0,0,0
0.1953125,0,0,0,0
0.29296875,0,0,0,0
0.390625,0.606795798235506,0,0,0
0.48828125,0.606795798235506,0,0,0
0.5859375,0.606795798235506,0,0,0
0.68359375,0.606795798235506,0,0,0
0.78125,0.606795798235506,0,0,0
0.87890625,0.606795798235506,0,0,0
0.9765625,0.700667434908806,0,0,0
1.07421875,0.78337000703825,0,0,0
1.171875,0.85813884745566,0,0,0
1.26953125,0.990893389161201,0,0,0
1.3671875,0.990893389161201,0,0,0
1.46484375,1.1078524883098,0,0,0
1.5625,1.16192549220664,0,0,0
1.66015625,1.16192549220664,0,0,0
1.7578125,1.31082874174924,0,0,0
1.85546875,1.4611727357602,0,0,0
1.953125,1.53154236026102,0,0,0
2.05078125,1.57110016067064,0,0,0
2.1484375,1.60968612730704,0,0,0
2.24609375,1.68420807966699,0,0,0
2.34375,1.79018378843398,0,0,0
2.44140625,1.82414136238321,0,0,0
2.5390625,2.01591021413896,0,0,0
2.63671875,2.10525417283188,0,0,0
2.734375,2.13420449952939,0,0,0
2.83203125,2.16276733824905,0,0,0
2.9296875,2.24627774332409,0,0,0
3.02734375,2.30026762080502,0,0,0
3.125,2.42999993729447,0,0,0
3.22265625,2.50461590588405,0,0,0
3.3203125,2.6706248016345,0,0,0
3.41796875,2.71619297147242,0,0,0
3.515625,2.80510946535387,0,0,0
3.61328125,2.89129278471751,0,0,0
3.7109375,2.9749804741042,0,0,0
3.80859375,3.01595362173759,0,0,0
3.90625,3.05637754141122,0,0,0
4.00390625,3.15517230013989,0.120969969226527,0,0.643868938785666
4.1015625,3.19383463421963,0.99143059157383,0,1.49077416517512
4.19921875,3.32561508082923,1.35636124625279,0,1.94373170464473
4.296875,3.41663346494264,1.6938564411271,1.08601182522865,2.12280200928903
4.39453125,3.49440425700389,1.96090938683459,1.42985429647331,2.42268138149288
4.4921875,3.58248087228796,2.20499246398152,1.64735922145194,2.68261932413176
4.58984375,3.63350661772693,2.44077344835476,1.79165295081566,2.94652710416629
4.6875,3.76238546905046,2.6457991169098,1.9699490827015,3.17194992051652
4.78515625,3.85900851245946,2.83210216680038,2.28518217500849,3.26040422115142
4.8828125,3.93771701207206,3.02488758228741,2.53198130149992,3.46576273247513
4.98046875,4.08170381952067,3.19642248752722,2.68310807164083,3.62039579772332
5.078125,4.30131512145657,3.36984798676718,2.82616498758708,3.81288548844634
5.17578125,4.41397570029042,3.53320657462325,3.03429344811544,4.04392734833355
5.2734375,4.51024583341665,3.68610327949679,3.19365733286923,4.18395523373646
5.37109375,4.6631508434057,3.84640208999127,3.39569859654851,4.27813791738735
5.46875,4.80573060395555,3.99625048789147,3.51665055065562,4.42425214555012
5.56640625,4.992151895659,4.14346864737029,3.68090213329081,4.57916222374672
5.6640625,5.08954322685397,4.2912415874064,3.9096534411409,4.78445764113287
5.76171875,5.19692733067184,4.42491707416366,4.01103011709511,4.82286821003374
5.859375,5.25563718765013,4.55853072851011,4.06741590286731,4.91494224182703
5.95703125,5.4279579909937,4.69071362514161,4.21753171391714,5.11510017303143
6.0546875,5.58128352904869,4.82716747718176,4.33866244178195,5.2198329387298
6.15234375,5.63599098646878,4.95631394993955,4.52164484161928,5.37719134006212
6.25,5.69017249013459,5.08682061797521,4.54857606622421,5.45067443881371
