"r","obs","mmean","lo","hi"
0,0,0,0,0
0.09765625,0,0.0111051691139401,0,0.372408449936634
0.1953125,0,0.0515362691478035,0,0.64503035645822
0.29296875,0,0.118959666238819,0,0.64503035645822
0.390625,0.606795798235506,0.198471533906331,0,0.64503035645822
0.48828125,0.606795798235506,0.267925646300538,0,0.744816899873267
0.5859375,0.606795798235506,0.361005622547452,0,0.83273060945364
0.68359375,0.606795798235506,0.431537170573879,0,0.875436180527055
0.78125,0.606795798235506,0.508001190464031,0,1.01086662897127
0.87890625,0.606795798235506,0.619202692097932,0,1.0223147367653
0.9765625,0.700667434908806,0.695183020429335,0,1.08432852431053
1.07421875,0.78337000703825,0.769058579191227,0,1.14298262290351
1.171875,0.85813884745566,0.843112067003203,0.342072891361205,1.30320069794994
1.26953125,0.990893389161201,0.913970865696999,0.466754817145764,1.39986210549078
1.3671875,0.990893389161201,0.986893489257773,0.571655568496593,1.39986210549078
1.46484375,1.1078524883098,1.06707354522737,0.660443289945423,1.46374387385067
1.5625,1.16192549220664,1.14179321712173,0.660443289945423,1.4859399772434
1.66015625,1.16192549220664,1.21266688908616,0.660443289945423,1.57489262668092
1.7578125,1.31082874174924,1.28243930579071,0.883349737980203,1.73890293641149
1.85546875,1.4611727357602,1.3566449673894,0.95412676630937,1.78182513432933
1.953125,1.53154236026102,1.42671496463693,1.08187806123636,1.79098403648767
2.05078125,1.57110016067064,1.49650732083851,1.09418666281222,1.86411528717149
2.1484375,1.60968612730704,1.56899608044785,1.09418666281222,1.93705295916822
2.24609375,1.68420807966699,1.6445278042797,1.22333787906089,2.00395594449856
2.34375,1.79018378843398,1.72452646471153,1.28967046561132,2.11120524403566
2.44140625,1.82414136238321,1.79016305630139,1.37511533249442,2.21383452837674
2.5390625,2.01591021413896,1.86401735314402,1.44250408164848,2.24197553995587
2.63671875,2.10525417283188,1.93990360883328,1.52549254894778,2.35487016805043
2.734375,2.13420449952939,2.00754420488892,1.52549254894778,2.39408450807804
2.83203125,2.16276733824905,2.07809682855735,1.68302362100648,2.44616125433298
2.9296875,2.24627774332409,2.15668651730789,1.74759923388776,2.55208735468424
3.02734375,2.30026762080502,2.23221389560314,1.78511612296623,2.59613128199284
3.125,2.42999993729447,2.30380974265181,1.88167761215417,2.66795689787386
3.22265625,2.50461590588405,2.37806938817106,1.97352012903097,2.76081917366458
3.3203125,2.6706248016345,2.44206106996222,1.99443315377779,2.81485766396916
3.41796875,2.71619297147242,2.51950193206811,1.99443315377779,2.88425407336265
3.515625,2.80510946535387,2.59354003029745,2.02766234796241,2.92960523289022
3.61328125,2.89129278471751,2.66345520620644,2.09253831082186,2.97426496490251
3.7109375,2.9749804741042,2.73416052211479,2.2166011260673,3.1118680346038
3.80859375,3.01595362173759,2.8063483248338,2.33407894508914,3.15612084241991
3.90625,3.05637754141122,2.86976673347961,2.36253582287441,3.21846873869915
4.00390625,3.15517230013989,2.93855106425419,2.533198987637,3.37080506960742
4.1015625,3.19383463421963,3.08895987612624,2.64081781027915,3.46754958822471
4.19921875,3.32561508082923,3.22443606729514,2.86326622465019,3.55686185687109
4.296875,3.41663346494264,3.35661752360683,2.99073445581203,3.71501378359506
4.39453125,3.49440425700389,3.49407682644228,3.1224543877878,3.87415348408309
4.4921875,3.58248087228796,3.6210524800337,3.26883440250651,4.00311258640917
4.58984375,3.63350661772693,3.74123637897839,3.39772570699349,4.0601955128358
4.6875,3.76238546905046,3.86219598462073,3.53539306896746,4.25613910235043
4.78515625,3.85900851245946,3.98762264172462,3.63413231825024,4.41332684994409
4.8828125,3.93771701207206,4.10402927927536,3.71907352338262,4.51666716700246
4.98046875,4.08170381952067,4.22623480141642,3.84826421185028,4.63935546824919
5.078125,4.30131512145657,4.34757865069107,4.02404037651819,4.73776820600315
5.17578125,4.41397570029042,4.46928380726916,4.11285807881103,4.89850602821536
