"mod","degree"
"CSR",2
"CSR",2
"CSR",4
"CSR",2
"CSR",3
"CSR",2
"CSR",1
"CSR",4
"CSR",3
"CSR",3
"CSR",3
"CSR",2
"CSR",1
"CSR",3
"CSR",2
"CSR",4
"CSR",4
"CSR",1
"CSR",1
"CSR",2
"CSR",1
"CSR",2
"CSR",4
"CSR",5
"CSR",3
"CSR",1
"CSR",1
"CSR",3
"CSR",3
"CSR",2
"CSR",2
"CSR",2
"CSR",2
"CSR",1
"CSR",2
"CSR",5
"CSR",2
"CSR",3
"CSR",1
"CSR",3
"CSR",2
"CSR",1
"CSR",4
"CSR",1
"CSR",1
"CSR",1
"CSR",2
"CSR",5
"CSR",1
"CSR",3
"CSR",3
"CSR",3
"CSR",3
"CSR",2
"CSR",1
"CSR",2
"CSR",4
"CSR",2
"CSR",2
"CSR",1
"CSR",5
"CSR",2
"CSR",1
"CSR",4
"CSR",3
"CSR",2
"CSR",1
"CSR",3
"CSR",2
"CSR",1
"CSR",3
"CSR",3
"CSR",5
"CSR",3
"CSR",2
"CSR",3
"CSR",2
"CSR",7
"CSR",1
"CSR",1
"CSR",2
"CSR",3
"CSR",2
"CSR",2
"CSR",2
"CSR",2
"CSR",2
"CSR",1
"CSR",2
"CSR",4
"CSR",2
"CSR",2
"CSR",3
"CSR",1
"CSR",2
"CSR",2
"CSR",6
"CSR",1
"CSR",2
"CSR",3
"CSR",2
"CSR",3
"CSR",2
"CSR",1
"CSR",2
"CSR",4
"CSR",1
"CSR",2
"CSR",1
"CSR",4
"CSR",5
"CSR",2
"CSR",2
"CSR",2
"CSR",3
"CSR",1
"CSR",3
"CSR",1
"CSR",2
"CSR",2
"CSR",4
"CSR",2
"CSR",2
"CSR",3
"CSR",2
"CSR",3
"CSR",2
"CSR",2
"CSR",4
"CSR",3
"CSR",3
"CSR",1
"CSR",3
"CSR",1
"CSR",2
"CSR",1
"CSR",1
"CSR",4
"CSR",1
"CSR",4
"CSR",3
"CSR",3
"CSR",1
"CSR",3
"CSR",1
"CSR",2
"CSR",3
"CSR",5
"CSR",3
"CSR",1
"CSR",3
"CSR",1
"CSR",1
"CSR",3
"CSR",2
"CSR",1
"CSR",4
"CSR",2
"CSR",3
"CSR",5
"CSR",3
"CSR",3
"CSR",1
"CSR",2
"CSR",2
"CSR",4
"CSR",2
"CSR",3
"CSR",2
"CSR",3
"CSR",2
"CSR",2
"CSR",6
"CSR",1
"CSR",1
"CSR",4
"CSR",1
"CSR",3
"CSR",1
"CSR",3
"CSR",5
"CSR",1
"CSR",3
"CSR",4
"CSR",1
"CSR",2
"CSR",3
"CSR",6
"CSR",4
"CSR",3
"CSR",4
"CSR",1
"CSR",2
"CSR",5
"CSR",2
"CSR",4
"CSR",1
"CSR",1
"CSR",4
"CSR",1
"CSR",3
"CSR",2
"CSR",2
"CSR",6
"CSR",4
"CSR",4
"CSR",2
"CSR",2
"CSR",1
"CSR",2
"CSR",1
"CSR",3
"CSR",1
"CSR",4
"CSR",3
"CSR",2
"CSR",3
"CSR",1
"CSR",1
"CSR",4
"CSR",2
"CSR",1
"CSR",3
"CSR",2
"CSR",4
"CSR",3
"CSR",1
"CSR",2
"CSR",2
"CSR",2
"CSR",3
"CSR",2
"CSR",3
"CSR",2
"CSR",3
"CSR",2
"CSR",3
"CSR",3
"CSR",4
"CSR",2
"CSR",2
"CSR",3
"CSR",3
"CSR",3
"CSR",2
"CSR",3
"CSR",2
"CSR",3
"CSR",1
"CSR",3
"CSR",2
"CSR",2
"CSR",3
"CSR",1
"CSR",2
"CSR",3
"CSR",4
"CSR",6
"CSR",6
"CSR",2
"CSR",4
"CSR",1
"CSR",3
"CSR",1
"CSR",2
"CSR",1
"CSR",2
"CSR",3
"CSR",3
"CSR",3
"CSR",3
"CSR",3
"CSR",2
"CSR",3
"CSR",3
"CSR",5
"CSR",1
"CSR",1
"CSR",2
"CSR",1
"CSR",2
"CSR",3
"CSR",3
"CSR",3
"CSR",4
"CSR",3
"CSR",3
"CSR",2
"CSR",1
"CSR",4
"CSR",1
"CSR",3
"CSR",2
"CSR",3
"CSR",3
"CSR",5
"CSR",6
"CSR",3
"CSR",3
"CSR",2
"CSR",1
"CSR",1
"CSR",3
"CSR",2
"CSR",2
"CSR",1
"CSR",4
"CSR",3
"CSR",3
"CSR",2
"CSR",2
"CSR",5
"CSR",2
"CSR",2
"CSR",2
"CSR",1
"CSR",5
"CSR",4
"CSR",6
"CSR",3
"CSR",3
"CSR",2
"CSR",6
"CSR",3
"CSR",1
"CSR",5
"CSR",4
"CSR",2
"CSR",4
"CSR",4
"CSR",3
"CSR",5
"CSR",4
"CSR",4
"CSR",1
"CSR",2
"CSR",4
"CSR",3
"CSR",4
"CSR",3
"CSR",2
"CSR",2
"CSR",2
"CSR",2
"CSR",2
"CSR",3
"CSR",3
"CSR",3
"CSR",2
"CSR",4
"CSR",3
"CSR",4
"CSR",6
"CSR",3
"CSR",3
"CSR",2
"CSR",2
"CSR",2
"CSR",3
"CSR",1
"CSR",1
"CSR",4
"CSR",1
"CSR",3
"CSR",1
"CSR",2
"CSR",2
"CSR",5
"CSR",1
"CSR",3
"CSR",1
"CSR",1
"CSR",2
"CSR",3
"CSR",2
"CSR",2
"CSR",4
"CSR",2
"CSR",1
"CSR",3
"CSR",1
"CSR",1
"CSR",2
"CSR",2
"CSR",2
"CSR",3
"CSR",2
"CSR",3
"CSR",2
"CSR",1
"CSR",2
"CSR",4
"CSR",1
"CSR",3
"CSR",2
"CSR",4
"CSR",2
"CSR",2
"CSR",4
"CSR",5
"CSR",4
"CSR",2
"CSR",2
"CSR",3
"CSR",2
"CSR",2
"CSR",3
"CSR",1
"CSR",1
"CSR",1
"CSR",1
"CSR",5
"CSR",1
"CSR",1
"CSR",1
"CSR",2
"CSR",2
"CSR",2
"CSR",2
"CSR",2
"CSR",1
"CSR",2
"CSR",3
"CSR",2
"CSR",4
"CSR",2
"CSR",2
"CSR",1
"CSR",1
"CSR",2
"CSR",1
"CSR",1
"CSR",2
"CSR",2
"CSR",2
"CSR",3
"CSR",3
"CSR",1
"CSR",1
"CSR",2
"CSR",3
"CSR",1
"CSR",3
"CSR",1
"CSR",1
"CSR",1
"CSR",1
"CSR",2
"CSR",1
"CSR",1
"CSR",1
"CSR",3
"CSR",2
"CSR",3
"CSR",1
"CSR",2
"CSR",3
"CSR",2
"CSR",2
"CSR",1
"CSR",1
"CSR",2
"CSR",4
"CSR",1
"CSR",1
"CSR",2
"CSR",1
"CSR",3
"CSR",2
"CSR",1
"CSR",2
"CSR",1
"CSR",4
"CSR",2
"CSR",2
"CSR",3
"CSR",1
"CSR",2
"CSR",1
"CSR",2
"CSR",3
"CSR",1
"CSR",1
"CSR",3
"CSR",1
"CSR",1
"CSR",1
"CSR",2
"CSR",1
"CSR",1
"CSR",1
"CSR",1
"CSR",2
"CSR",1
"CSR",1
"CSR",1
"CSR",1
"CSR",1
"CSR",1
"CSR",4
"CSR",1
"CSR",1
"CSR",2
"CSR",1
"CSR",1
"CSR",1
"CSR",1
"CSR",1
"Mat",6
"Mat",3
"Mat",4
"Mat",5
"Mat",4
"Mat",4
"Mat",5
"Mat",3
"Mat",4
"Mat",7
"Mat",4
"Mat",3
"Mat",4
"Mat",5
"Mat",4
"Mat",6
"Mat",6
"Mat",8
"Mat",5
"Mat",7
"Mat",7
"Mat",1
"Mat",5
"Mat",3
"Mat",4
"Mat",4
"Mat",7
"Mat",10
"Mat",10
"Mat",9
"Mat",1
"Mat",2
"Mat",2
"Mat",4
"Mat",5
"Mat",2
"Mat",6
"Mat",7
"Mat",17
"Mat",4
"Mat",12
"Mat",8
"Mat",5
"Mat",4
"Mat",6
"Mat",3
"Mat",1
"Mat",2
"Mat",2
"Mat",5
"Mat",3
"Mat",5
"Mat",1
"Mat",1
"Mat",2
"Mat",2
"Mat",5
"Mat",2
"Mat",4
"Mat",3
"Mat",6
"Mat",11
"Mat",5
"Mat",9
"Mat",13
"Mat",10
"Mat",14
"Mat",5
"Mat",3
"Mat",3
"Mat",3
"Mat",2
"Mat",3
"Mat",1
"Mat",5
"Mat",1
"Mat",2
"Mat",3
"Mat",2
"Mat",9
"Mat",8
"Mat",9
"Mat",6
"Mat",8
"Mat",1
"Mat",2
"Mat",6
"Mat",5
"Mat",10
"Mat",8
"Mat",9
"Mat",8
"Mat",9
"Mat",4
"Mat",6
"Mat",6
"Mat",6
"Mat",5
"Mat",3
"Mat",3
"Mat",2
"Mat",3
"Mat",9
"Mat",8
"Mat",9
"Mat",8
"Mat",7
"Mat",5
"Mat",8
"Mat",7
"Mat",9
"Mat",7
"Mat",5
"Mat",9
"Mat",9
"Mat",9
"Mat",7
"Mat",8
"Mat",10
"Mat",7
"Mat",4
"Mat",4
"Mat",4
"Mat",1
"Mat",2
"Mat",7
"Mat",7
"Mat",1
"Mat",2
"Mat",5
"Mat",2
"Mat",2
"Mat",2
"Mat",3
"Mat",6
"Mat",5
"Mat",6
"Mat",5
"Mat",4
"Mat",4
"Mat",4
"Mat",5
"Mat",3
"Mat",5
"Mat",9
"Mat",10
"Mat",11
"Mat",6
"Mat",6
"Mat",10
"Mat",2
"Mat",2
"Mat",2
"Mat",5
"Mat",7
"Mat",10
"Mat",5
"Mat",3
"Mat",5
"Mat",4
"Mat",1
"Mat",4
"Mat",6
"Mat",9
"Mat",5
"Mat",3
"Mat",4
"Mat",6
"Mat",5
"Mat",3
"Mat",2
"Mat",5
"Mat",4
"Mat",1
"Mat",3
"Mat",7
"Mat",3
"Mat",1
"Mat",5
"Mat",3
"Mat",4
"Mat",1
"Mat",3
"Mat",4
"Mat",1
"Mat",4
"Mat",4
"Mat",4
"Mat",4
"Mat",7
"Mat",6
"Mat",8
"Mat",9
"Mat",2
"Mat",2
"Mat",2
"Mat",3
"Mat",3
"Mat",3
"Mat",3
"Mat",4
"Mat",4
"Mat",5
"Mat",1
"Mat",2
"Mat",4
"Mat",2
"Mat",1
"Mat",4
"Mat",1
"Mat",2
"Mat",4
"Mat",4
"Mat",4
"Mat",2
"Mat",2
"Mat",4
"Mat",6
"Mat",11
"Mat",12
"Mat",13
"Mat",10
"Mat",4
"Mat",4
"Mat",4
"Mat",7
"Mat",7
"Mat",5
"Mat",6
"Mat",7
"Mat",6
"Mat",3
"Mat",5
"Mat",9
"Mat",7
"Mat",8
"Mat",2
"Mat",4
"Mat",4
"Mat",4
"Mat",4
"Mat",2
"Mat",3
"Mat",3
"Mat",4
"Mat",4
"Mat",4
"Mat",4
"Mat",8
"Mat",3
"Mat",3
"Mat",2
"Mat",5
"Mat",4
"Mat",3
"Mat",4
"Mat",5
"Mat",6
"Mat",7
"Mat",6
"Mat",5
"Mat",5
"Mat",7
"Mat",11
"Mat",8
"Mat",7
"Mat",8
"Mat",7
"Mat",1
"Mat",2
"Mat",6
"Mat",4
"Mat",6
"Mat",6
"Mat",7
"Mat",6
"Mat",7
"Mat",4
"Mat",5
"Mat",4
"Mat",2
"Mat",2
"Mat",1
"Mat",2
"Mat",7
"Mat",9
"Mat",4
"Mat",11
"Mat",11
"Mat",11
"Mat",12
"Mat",11
"Mat",13
"Mat",13
"Mat",12
"Mat",13
"Mat",7
"Mat",6
"Mat",6
"Mat",5
"Mat",6
"Mat",5
"Mat",1
"Mat",4
"Mat",5
"Mat",10
"Mat",2
"Mat",1
"Mat",3
"Mat",8
"Mat",9
"Mat",6
"Mat",7
"Mat",8
"Mat",8
"Mat",4
"Mat",6
"Mat",3
"Mat",3
"Mat",4
"Mat",5
"Mat",9
"Mat",5
