"mod","degree"
"CSR",4
"CSR",4
"CSR",5
"CSR",4
"CSR",5
"CSR",5
"CSR",7
"CSR",4
"CSR",5
"CSR",3
"CSR",5
"CSR",2
"CSR",2
"CSR",1
"CSR",1
"CSR",3
"CSR",3
"CSR",7
"CSR",6
"CSR",4
"CSR",2
"CSR",4
"CSR",5
"CSR",4
"CSR",1
"CSR",5
"CSR",6
"CSR",4
"CSR",5
"CSR",2
"CSR",1
"CSR",1
"CSR",8
"CSR",5
"CSR",3
"CSR",7
"CSR",4
"CSR",4
"CSR",1
"CSR",4
"CSR",6
"CSR",4
"CSR",6
"CSR",4
"CSR",4
"CSR",3
"CSR",4
"CSR",1
"CSR",4
"CSR",2
"CSR",5
"CSR",2
"CSR",5
"CSR",6
"CSR",5
"CSR",3
"CSR",7
"CSR",5
"CSR",3
"CSR",7
"CSR",8
"CSR",6
"CSR",4
"CSR",2
"CSR",4
"CSR",6
"CSR",8
"CSR",1
"CSR",3
"CSR",4
"CSR",2
"CSR",10
"CSR",5
"CSR",6
"CSR",6
"CSR",4
"CSR",4
"CSR",3
"CSR",2
"CSR",5
"CSR",5
"CSR",2
"CSR",4
"CSR",4
"CSR",6
"CSR",6
"CSR",7
"CSR",3
"CSR",2
"CSR",3
"CSR",3
"CSR",2
"CSR",8
"CSR",4
"CSR",4
"CSR",4
"CSR",3
"CSR",3
"CSR",4
"CSR",3
"CSR",2
"CSR",4
"CSR",3
"CSR",6
"CSR",6
"CSR",6
"CSR",4
"CSR",5
"CSR",2
"CSR",4
"CSR",3
"CSR",4
"CSR",6
"CSR",2
"CSR",8
"CSR",5
"CSR",3
"CSR",3
"CSR",3
"CSR",6
"CSR",5
"CSR",2
"CSR",4
"CSR",2
"CSR",6
"CSR",3
"CSR",4
"CSR",3
"CSR",9
"CSR",5
"CSR",3
"CSR",4
"CSR",4
"CSR",7
"CSR",1
"CSR",2
"CSR",4
"CSR",3
"CSR",7
"CSR",4
"CSR",2
"CSR",3
"CSR",3
"CSR",6
"CSR",6
"CSR",6
"CSR",6
"CSR",7
"CSR",4
"CSR",3
"CSR",6
"CSR",6
"CSR",8
"CSR",4
"CSR",4
"CSR",1
"CSR",6
"CSR",2
"CSR",4
"CSR",5
"CSR",3
"CSR",3
"CSR",2
"CSR",5
"CSR",6
"CSR",3
"CSR",6
"CSR",5
"CSR",4
"CSR",4
"CSR",5
"CSR",4
"CSR",3
"CSR",6
"CSR",1
"CSR",5
"CSR",7
"CSR",3
"CSR",7
"CSR",5
"CSR",2
"CSR",4
"CSR",5
"CSR",1
"CSR",4
"CSR",8
"CSR",4
"CSR",5
"CSR",6
"CSR",4
"CSR",6
"CSR",4
"CSR",4
"CSR",5
"CSR",3
"CSR",4
"CSR",8
"CSR",2
"CSR",4
"CSR",4
"CSR",4
"CSR",3
"CSR",5
"CSR",6
"CSR",4
"CSR",5
"CSR",7
"CSR",1
"CSR",3
"CSR",4
"CSR",7
"CSR",6
"CSR",5
"CSR",1
"CSR",3
"CSR",2
"CSR",7
"CSR",6
"CSR",7
"CSR",4
"CSR",2
"CSR",6
"CSR",7
"CSR",6
"CSR",4
"CSR",6
"CSR",3
"CSR",3
"CSR",6
"CSR",3
"CSR",5
"CSR",4
"CSR",4
"CSR",4
"CSR",5
"CSR",4
"CSR",4
"CSR",4
"CSR",3
"CSR",5
"CSR",7
"CSR",5
"CSR",4
"CSR",8
"CSR",4
"CSR",3
"CSR",4
"CSR",5
"CSR",2
"CSR",3
"CSR",4
"CSR",3
"CSR",7
"CSR",1
"CSR",6
"CSR",4
"CSR",4
"CSR",2
"CSR",6
"CSR",4
"CSR",5
"CSR",7
"CSR",6
"CSR",5
"CSR",3
"CSR",5
"CSR",1
"CSR",5
"CSR",3
"CSR",3
"CSR",3
"CSR",7
"CSR",3
"CSR",3
"CSR",6
"CSR",4
"CSR",3
"CSR",3
"CSR",5
"CSR",4
"CSR",3
"CSR",3
"CSR",5
"CSR",6
"CSR",4
"CSR",5
"CSR",5
"CSR",2
"CSR",5
"CSR",4
"CSR",5
"CSR",3
"CSR",3
"CSR",4
"CSR",4
"CSR",8
"CSR",6
"CSR",2
"CSR",5
"CSR",2
"CSR",8
"CSR",6
"CSR",2
"CSR",5
"CSR",3
"CSR",4
"CSR",2
"CSR",5
"CSR",6
"CSR",4
"CSR",4
"CSR",3
"CSR",6
"CSR",2
"CSR",7
"CSR",6
"CSR",5
"CSR",6
"CSR",3
"CSR",8
"CSR",4
"CSR",3
"CSR",8
"CSR",2
"CSR",3
"CSR",7
"CSR",2
"CSR",4
"CSR",4
"CSR",5
"CSR",5
"CSR",5
"CSR",3
"CSR",5
"CSR",6
"CSR",4
"CSR",5
"CSR",5
"CSR",2
"CSR",6
"CSR",4
"CSR",4
"CSR",6
"CSR",6
"CSR",4
"CSR",3
"CSR",2
"CSR",4
"CSR",2
"CSR",5
"CSR",5
"CSR",4
"CSR",3
"CSR",4
"CSR",8
"CSR",5
"CSR",4
"CSR",4
"CSR",4
"CSR",4
"CSR",6
"CSR",3
"CSR",3
"CSR",3
"CSR",4
"CSR",3
"CSR",5
"CSR",4
"CSR",3
"CSR",5
"CSR",4
"CSR",3
"CSR",4
"CSR",8
"CSR",4
"CSR",8
"CSR",6
"CSR",10
"CSR",3
"CSR",7
"CSR",4
"CSR",4
"CSR",3
"CSR",5
"CSR",3
"CSR",4
"CSR",6
"CSR",6
"CSR",4
"CSR",6
"CSR",6
"CSR",5
"CSR",9
"CSR",7
"CSR",5
"CSR",6
"CSR",5
"CSR",3
"CSR",4
"CSR",4
"CSR",4
"CSR",8
"CSR",5
"CSR",7
"CSR",5
"CSR",8
"CSR",5
"CSR",5
"CSR",7
"CSR",4
"CSR",3
"CSR",2
"CSR",6
"CSR",6
"CSR",2
"CSR",3
"CSR",7
"CSR",5
"CSR",4
"CSR",4
"CSR",3
"CSR",6
"CSR",5
"CSR",8
"CSR",6
"CSR",5
"CSR",5
"CSR",7
"CSR",4
"CSR",4
"CSR",7
"CSR",4
"CSR",6
"CSR",4
"CSR",1
"CSR",8
"CSR",4
"CSR",4
"CSR",4
"CSR",4
"CSR",1
"CSR",5
"CSR",5
"CSR",4
"CSR",7
"CSR",3
"CSR",4
"CSR",4
"CSR",5
"CSR",3
"CSR",6
"CSR",4
"CSR",5
"CSR",4
"CSR",3
"CSR",6
"CSR",5
"CSR",6
"CSR",7
"CSR",6
"CSR",7
"CSR",3
"CSR",2
"CSR",2
"CSR",2
"CSR",1
"CSR",3
"CSR",3
"CSR",2
"CSR",5
"CSR",5
"CSR",7
"CSR",4
"CSR",3
"CSR",4
"CSR",1
"CSR",7
"CSR",4
"CSR",3
"CSR",4
"CSR",1
"CSR",1
"CSR",3
"CSR",6
"CSR",4
"CSR",3
"CSR",3
"CSR",2
"CSR",3
"CSR",4
"CSR",6
"CSR",3
"CSR",3
"CSR",7
"CSR",4
"CSR",2
"CSR",3
"CSR",2
"CSR",1
"CSR",5
"CSR",3
"CSR",7
"CSR",8
"CSR",3
"CSR",6
"CSR",6
"CSR",4
