"mod","degree"
"CSR",2.0493
"CSR",4.10171
"CSR",9.89984
"CSR",8.33291
"CSR",5.58353
"CSR",2.4438
"CSR",7.54311
"CSR",6.83073
"CSR",4.6239
"CSR",5.34279
"CSR",3.95066
"CSR",4.41484
"CSR",2.03418
"CSR",10.6592
"CSR",3.57728
"CSR",6.07021
"CSR",11.68924
"CSR",1.38913
"CSR",0.83128
"CSR",3.99918
"CSR",3.13075
"CSR",4.87534
"CSR",12.79199
"CSR",5.86355
"CSR",4.00112
"CSR",3.51915
"CSR",3.0651
"CSR",17.29966
"CSR",4.08982
"CSR",13.1461
"CSR",1.5375
"CSR",9.47288
"CSR",5.55857
"CSR",1.04572
"CSR",9.75711
"CSR",16.44168
"CSR",10.1286
"CSR",6.29168
"CSR",11.54222
"CSR",6.91038
"CSR",3.09448
"CSR",4.88874
"CSR",9.68641
"CSR",1.39349
"CSR",3.95502
"CSR",1.85131
"CSR",2.9293
"CSR",10.10392
"CSR",5.19457
"CSR",10.12657
"CSR",8.1224
"CSR",7.50015
"CSR",19.73891
"CSR",7.8606
"CSR",3.85737
"CSR",9.81742
"CSR",24.01557
"CSR",5.23571
"CSR",1.37741
"CSR",1.02429
"CSR",18.26297
"CSR",3.61982
"CSR",1.20112
"CSR",4.79495
"CSR",1.51265
"CSR",7.94976
"CSR",2.84454
"CSR",16.63926
"CSR",3.9379
"CSR",8.80764
"CSR",4.00671
"CSR",14.86318
"CSR",10.62652
"CSR",3.80635
"CSR",5.90367
"CSR",5.0196
"CSR",6.90554
"CSR",6.4304
"CSR",6.7473
"CSR",5.32673
"CSR",0.8816
"CSR",2.54158
"CSR",5.38879
"CSR",1.64923
"CSR",2.97271
"CSR",6.44967
"CSR",8.55066
"CSR",3.34743
"CSR",0.31798
"CSR",5.74546
"CSR",5.71009
"CSR",3.38741
"CSR",4.58777
"CSR",7.59467
"CSR",5.10709
"CSR",1.41931
"CSR",7.22896
"CSR",11.45751
"CSR",4.00272
"CSR",10.02166
"CSR",1.0245
"CSR",6.36606
"CSR",10.36339
"CSR",3.16863
"CSR",6.09547
"CSR",3.1574
"CSR",7.03225
"CSR",8.52028
"CSR",11.06117
"CSR",6.56907
"CSR",2.40449
"CSR",8.01868
"CSR",1.74237
"CSR",11.18479
"CSR",9.37427
"CSR",10.82472
"CSR",3.9264
"CSR",4.05023
"CSR",2.72464
"CSR",6.61262
"CSR",1.43551
"CSR",8.15315
"CSR",0.90383
"CSR",1.56171
"CSR",4.32888
"CSR",14.17317
"CSR",4.23816
"CSR",2.46706
"CSR",6.74651
"CSR",5.86548
"CSR",9.01803
"CSR",3.43895
"CSR",5.25093
"CSR",8.97872
"CSR",9.75228
"CSR",4.03475
"CSR",1.42133
"CSR",6.41371
"CSR",3.92156
"CSR",6.30472
"CSR",4.78309
"CSR",1.9445
"CSR",9.91855
"CSR",0.59251
"CSR",7.03893
"CSR",1.13613
"CSR",8.27971
"CSR",2.5072
"CSR",14.24144
"CSR",5.29343
"CSR",3.25987
"CSR",6.3778
"CSR",12.4857
"CSR",7.20322
"CSR",0.11087
"CSR",7.47052
"CSR",6.19042
"CSR",2.13469
"CSR",6.23547
"CSR",3.37868
"CSR",1.46869
"CSR",3.79691
"CSR",15.65162
"CSR",7.12683
"CSR",9.53615
"CSR",9.61407
"CSR",12.82349
"CSR",4.976
"CSR",5.85277
"CSR",0.18555
"CSR",1.51255
"CSR",8.39909
"CSR",7.52536
"CSR",6.53705
"CSR",5.20771
"CSR",7.35987
"CSR",4.35676
"CSR",12.30086
"CSR",3.28927
"CSR",9.18656
"CSR",14.53479
"CSR",3.02445
"CSR",0.98434
"CSR",15.28231
"CSR",8.62836
"CSR",10.30696
"CSR",2.92681
"CSR",1.41884
"CSR",6.23361
"CSR",10.14296
"CSR",4.5182
"CSR",4.97946
"CSR",8.05944
"CSR",9.50025
"CSR",1.74047
"CSR",3.00447
"CSR",3.88229
"CSR",8.80438
"CSR",14.85422
"CSR",9.89155
"CSR",7.06113
"CSR",3.3279
"CSR",4.11007
"CSR",2.54097
"CSR",5.32319
"CSR",5.5956
"CSR",8.02077
"CSR",3.24376
"CSR",6.81841
"CSR",0.66679
"CSR",12.26849
"CSR",1.8295
"CSR",10.29112
"CSR",5.91696
"CSR",6.67704
"CSR",5.19718
"CSR",6.07547
"CSR",17.19181
"CSR",6.32977
"CSR",3.09371
"CSR",0.72357
"CSR",6.05947
"CSR",0.22629
"CSR",8.4738
"CSR",0.91145
"CSR",0.65649
"CSR",2.71031
"CSR",0.06061
"CSR",11.81928
"CSR",2.97706
"CSR",0.58299
"CSR",5.40217
"CSR",3.5995
"CSR",8.95876
"CSR",5.38309
"CSR",9.54628
"CSR",4.13218
"CSR",7.19714
"CSR",3.38814
"CSR",8.81861
"CSR",1.44106
"CSR",3.80989
"CSR",8.64061
"CSR",2.79214
"CSR",0.92946
"CSR",9.90914
"CSR",5.01661
"CSR",8.44756
"CSR",8.06817
"CSR",5.83088
"CSR",6.3471
"CSR",5.3876
"CSR",7.61248
"CSR",12.18651
"CSR",15.99011
"CSR",4.95381
"CSR",4.81166
"CSR",5.77358
"CSR",5.45111
"CSR",9.57558
"CSR",1.64385
"CSR",7.61684
"CSR",6.96703
"CSR",7.27421
"CSR",10.70484
"CSR",5.72307
"CSR",4.04993
"CSR",6.7784
"CSR",6.15911
"CSR",4.10688
"CSR",4.99489
"CSR",4.64914
"CSR",7.67352
"CSR",8.12939
"CSR",6.42181
"CSR",2.1478
"CSR",10.9168
"CSR",0.59853
"CSR",2.63181
"CSR",4.18849
"CSR",5.69984
"CSR",1.49142
"CSR",1.22575
"CSR",5.14952
"CSR",6.26042
"CSR",1.25972
"CSR",9.45602
"CSR",17.52387
"CSR",8.05313
"CSR",10.25866
"CSR",7.37042
"CSR",2.18282
"CSR",9.56379
"CSR",1.70623
"CSR",1.81913
"CSR",1.84406
"CSR",1.43853
"CSR",1.26866
"CSR",4.32284
"CSR",0.7706
"CSR",0.11159
"CSR",7.5807
"CSR",0.03606
"CSR",9.67515
"CSR",3.0403
"CSR",3.38541
"CSR",5.16055
"CSR",7.60618
"CSR",6.40895
"CSR",3.75906
"CSR",9.237
"CSR",2.10247
"CSR",12.95127
"CSR",8.94954
"CSR",1.81435
"CSR",2.3371
"CSR",5.39633
"CSR",4.86807
"CSR",15.07639
"CSR",6.5534
"CSR",15.07396
"CSR",8.70316
"CSR",1.25023
"CSR",0.70553
"CSR",5.52496
"CSR",6.48365
"CSR",1.08888
"CSR",1.59097
"CSR",10.44635
"CSR",8.02401
"CSR",5.59839
"CSR",1.93633
"CSR",6.51632
"CSR",7.74891
"CSR",14.36396
"CSR",6.04137
"CSR",11.81258
"CSR",8.42952
"CSR",0.99894
"CSR",6.95882
"CSR",9.96459
"CSR",3.54267
"CSR",0.53806
"CSR",0.65715
"CSR",9.10071
"CSR",7.49552
"CSR",6.00472
"CSR",8.95576
"CSR",8.67786
"CSR",18.2698
"CSR",2.06031
"CSR",8.43603
"CSR",9.45097
"CSR",10.15333
"CSR",11.45243
"CSR",4.91754
"CSR",7.79076
"CSR",16.14087
"CSR",3.25066
"CSR",5.56809
"CSR",6.22595
"CSR",2.80065
"CSR",2.74491
"CSR",0.93368
"CSR",6.43248
"CSR",6.36756
"CSR",3.45912
"CSR",10.18573
"CSR",0.73055
"CSR",5.27193
"CSR",3.91304
"CSR",4.67834
"CSR",2.16808
"CSR",5.13031
"CSR",3.82466
"CSR",0.14509
"CSR",1.24224
"CSR",16.9135
"CSR",7.45837
"CSR",1.91386
"CSR",5.72727
"CSR",6.77838
"CSR",0.68212
"CSR",1.96237
"CSR",9.36136
"CSR",8.08451
"CSR",6.82218
"CSR",10.83641
"CSR",3.28861
"CSR",6.34181
"CSR",1.34783
"CSR",6.11079
"CSR",4.16989
"CSR",3.34595
"CSR",5.41647
"CSR",2.99485
"CSR",0.32769
"CSR",13.22092
"CSR",0.34237
"CSR",7.6483
"CSR",0.23678
"CSR",2.00423
"CSR",7.43128
"CSR",13.23983
"CSR",17.85661
"CSR",2.55031
"CSR",8.2679
"CSR",5.22029
"CSR",6.00176
"CSR",8.90143
"CSR",5.55949
"CSR",1.56059
"CSR",6.35698
"CSR",0.20566
"CSR",9.29849
"CSR",1.76608
"CSR",4.09587
"CSR",7.57737
"CSR",1.46741
"CSR",6.37469
"CSR",11.1944
"CSR",6.91492
"CSR",8.77493
"CSR",2.65461
"CSR",3.26159
"CSR",4.91947
"CSR",15.34225
"CSR",4.72467
"CSR",0.79789
"CSR",4.05764
"CSR",4.18034
"CSR",3.42126
"CSR",11.72656
"CSR",3.20575
"CSR",4.01624
"CSR",1.59931
"CSR",0.81938
"CSR",6.78058
"CSR",6.1784
"CSR",2.69962
"CSR",2.88466
"CSR",11.87136
"CSR",0.45349
"CSR",0.63312
"CSR",1.60011
"CSR",9.08514
"CSR",4.57443
"CSR",14.34951
"CSR",10.55146
"CSR",2.75796
"CSR",7.3234
"CSR",8.19556
"CSR",1.81951
"CSR",4.74769
"CSR",12.42616
"CSR",3.25759
"CSR",3.2167
"CSR",1.31265
"CSR",1.5928
"CSR",3.88873
"CSR",1.32875
"CSR",5.60154
"CSR",13.16083
"CSR",7.96597
"CSR",7.19655
"CSR",9.65677
"CSR",10.13254
"CSR",5.64644
"CSR",1.57907
"CSR",11.21488
"CSR",5.59734
"CSR",3.18451
"CSR",3.93686
"CSR",0.29207
"CSR",11.10522
"CSR",12.33693
"CSR",9.38869
"CSR",1.98962
"CSR",7.89858
"CSR",2.40032
"CSR",1.54956
"CSR",7.13809
"CSR",1.0303
"CSR",1.89429
"CSR",0.60838
"CSR",0.62424
"CSR",9.27413
"CSR",8.04084
"CSR",3.32061
"CSR",5.7893
"CSR",5.49248
"CSR",0.11244
"CSR",1.88134
"CSR",3.00437
"CSR",3.22432
"CSR",3.39682
"CSR",6.4153
"CSR",5.53445
"CSR",2.72151
"CSR",10.51219
"CSR",4.85538
"CSR",14.9487
"CSR",6.79986
"CSR",2.33722
"CSR",15.02943
"CSR",10.99714
"CSR",3.35435
"CSR",10.21302
"Mat",13.4124
"Mat",12.74073
"Mat",16.13698
"Mat",9.83647
"Mat",17.40358
"Mat",15.38582
"Mat",18.9141
"Mat",6.05883
"Mat",12.06781
"Mat",20.47323
"Mat",12.83945
"Mat",8.16064
"Mat",8.65387
"Mat",11.11343
"Mat",17.3217
"Mat",9.02383
"Mat",21.92218
"Mat",20.37986
"Mat",14.97684
"Mat",15.47166
"Mat",12.98883
"Mat",19.17466
"Mat",1.16738
"Mat",0.7885
"Mat",17.88687
"Mat",13.97187
"Mat",9.71272
"Mat",7.23114
"Mat",11.57474
"Mat",33.69654
"Mat",38.66513
"Mat",17.24421
"Mat",7.6997
"Mat",3.55086
"Mat",9.78823
"Mat",11.71403
"Mat",13.43989
"Mat",21.58567
"Mat",20.61307
"Mat",8.64123
"Mat",15.96681
"Mat",13.42332
"Mat",10.7271
"Mat",34.04851
"Mat",7.73248
"Mat",26.32637
"Mat",9.12729
"Mat",31.88412
"Mat",16.86934
"Mat",6.85284
"Mat",3.70961
"Mat",21.15086
"Mat",8.25841
"Mat",4.43921
"Mat",1.65394
"Mat",0.76777
"Mat",1.0188
"Mat",10.85859
"Mat",10.40525
"Mat",8.16616
"Mat",1.6799
"Mat",1.20489
"Mat",2.07873
"Mat",8.02069
"Mat",1.65266
"Mat",3.70067
"Mat",11.79274
"Mat",6.181
"Mat",7.57349
"Mat",7.27568
"Mat",25.37915
"Mat",32.08691
"Mat",8.97493
"Mat",28.16429
"Mat",34.84618
"Mat",18.32116
"Mat",30.19267
"Mat",13.12148
"Mat",9.52249
