"mod","weight"
"CSR",1.46022
"CSR",0.58908
"CSR",3.20147
"CSR",0.90024
"CSR",5.59919
"CSR",1.82625
"CSR",2.3408
"CSR",0.1336
"CSR",6.29272
"CSR",2.04019
"CSR",1.72544
"CSR",3.44897
"CSR",0.40912
"CSR",2.10705
"CSR",0.33675
"CSR",7.54311
"CSR",3.39965
"CSR",2.30876
"CSR",0.77567
"CSR",0.34665
"CSR",3.4443
"CSR",0.06514
"CSR",1.11446
"CSR",0.3178
"CSR",0.32132
"CSR",4.70367
"CSR",2.56745
"CSR",0.56984
"CSR",0.81337
"CSR",0.01502
"CSR",4.39982
"CSR",2.03418
"CSR",7.62571
"CSR",1.04317
"CSR",1.99032
"CSR",0.61005
"CSR",2.96723
"CSR",2.34661
"CSR",1.56116
"CSR",0.50096
"CSR",1.66148
"CSR",1.35932
"CSR",1.9782
"CSR",3.37445
"CSR",4.97727
"CSR",1.38913
"CSR",0.83128
"CSR",1.20184
"CSR",2.79734
"CSR",3.13075
"CSR",0.61707
"CSR",4.25827
"CSR",4.95897
"CSR",0.53028
"CSR",2.16426
"CSR",5.13848
"CSR",2.12432
"CSR",0.35824
"CSR",1.04185
"CSR",1.42754
"CSR",0.9116
"CSR",0.86724
"CSR",0.36341
"CSR",2.77047
"CSR",3.51915
"CSR",3.0651
"CSR",3.25056
"CSR",5.84366
"CSR",8.20544
"CSR",0.32129
"CSR",0.92122
"CSR",2.84731
"CSR",6.47081
"CSR",6.67529
"CSR",0.78507
"CSR",0.75243
"CSR",3.40872
"CSR",6.06416
"CSR",4.86361
"CSR",0.69496
"CSR",1.04572
"CSR",7.87485
"CSR",1.88226
"CSR",2.51521
"CSR",4.58778
"CSR",2.43613
"CSR",3.77759
"CSR",3.12497
"CSR",4.66367
"CSR",5.46493
"CSR",0.18417
"CSR",1.47461
"CSR",4.6329
"CSR",11.54222
"CSR",2.85406
"CSR",0.27354
"CSR",3.78278
"CSR",0.11879
"CSR",2.97569
"CSR",4.88874
"CSR",3.08052
"CSR",4.49301
"CSR",1.99557
"CSR",0.11731
"CSR",1.39349
"CSR",3.95502
"CSR",1.85131
"CSR",1.34158
"CSR",1.58772
"CSR",2.89907
"CSR",1.39793
"CSR",2.50206
"CSR",1.0079
"CSR",2.29696
"CSR",5.19457
"CSR",0.35575
